#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04922	Glucagon signaling pathway	7	100	0.86	0.83	0.00019	9606.ENSP00000262367,9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000387699,9606.ENSP00000500582	CREBBP,PRKACA,CREB3L2,ATF4,CREB3,CREB1,AKT3
hsa05230	Central carbon metabolism in cancer	6	68	0.96	0.87	0.00019	9606.ENSP00000241453,9606.ENSP00000263025,9606.ENSP00000317272,9606.ENSP00000410294,9606.ENSP00000428056,9606.ENSP00000500582	FLT3,MAPK3,MET,FGFR2,PIK3R1,AKT3
hsa00071	Fatty acid degradation	5	42	1.09	0.9	0.00020	9606.ENSP00000325136,9606.ENSP00000345774,9606.ENSP00000346827,9606.ENSP00000420269,9606.ENSP00000438689	HADHB,ALDH3A2,ALDH9A1,ADH7,ACADVL
hsa04064	NF-kappa B signaling pathway	7	101	0.86	0.82	0.00020	9606.ENSP00000263464,9606.ENSP00000264972,9606.ENSP00000365042,9606.ENSP00000384273,9606.ENSP00000385519,9606.ENSP00000428924,9606.ENSP00000483825	BIRC3,ZAP70,CSNK2B,RELA,CD14,LYN,IKBKG
hsa05140	Leishmaniasis	6	69	0.96	0.86	0.00020	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000356946,9606.ENSP00000366182,9606.ENSP00000379350,9606.ENSP00000384273	MAPK14,MAPK3,FCGR3A,ELK1,ITGB1,RELA
hsa04066	HIF-1 signaling pathway	7	102	0.85	0.82	0.00021	9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000282397,9606.ENSP00000308413,9606.ENSP00000384273,9606.ENSP00000428056,9606.ENSP00000500582	CREBBP,MAPK3,FLT1,RPS6KB2,RELA,PIK3R1,AKT3
hsa05214	Glioma	6	71	0.94	0.85	0.00023	9606.ENSP00000263025,9606.ENSP00000290277,9606.ENSP00000346508,9606.ENSP00000364995,9606.ENSP00000428056,9606.ENSP00000500582	MAPK3,ARAF,PDGFA,SHC3,PIK3R1,AKT3
hsa00565	Ether lipid metabolism	5	47	1.04	0.84	0.00033	9606.ENSP00000243501,9606.ENSP00000263088,9606.ENSP00000371886,9606.ENSP00000393847,9606.ENSP00000396045	PLA2G12A,PLD2,JMJD7-PLA2G4B,PLA2G10,PLA2G4B
hsa04966	Collecting duct acid secretion	4	24	1.24	0.89	0.00033	9606.ENSP00000253413,9606.ENSP00000290949,9606.ENSP00000302194,9606.ENSP00000329757	ATP6V1E1,ATP6V0D1,ATP6V1G2,ATP6V0C
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	6	77	0.91	0.8	0.00034	9606.ENSP00000200181,9606.ENSP00000296585,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000452786,9606.ENSP00000458162	ITGB4,ITGA2,ITGA11,ITGB1,ITGB3,ACTG1
hsa00592	alpha-Linolenic acid metabolism	4	25	1.22	0.87	0.00037	9606.ENSP00000243501,9606.ENSP00000371886,9606.ENSP00000393847,9606.ENSP00000396045	PLA2G12A,JMJD7-PLA2G4B,PLA2G10,PLA2G4B
hsa05323	Rheumatoid arthritis	6	83	0.88	0.76	0.00049	9606.ENSP00000253413,9606.ENSP00000282397,9606.ENSP00000290949,9606.ENSP00000302194,9606.ENSP00000329757,9606.ENSP00000434729	ATP6V1E1,FLT1,ATP6V0D1,ATP6V1G2,ATP6V0C,ATP6V0B
hsa04658	Th1 and Th2 cell differentiation	6	85	0.87	0.75	0.00055	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000264972,9606.ENSP00000341208,9606.ENSP00000384273,9606.ENSP00000483825	MAPK14,MAPK3,ZAP70,STAT5A,RELA,IKBKG
hsa05164	Influenza A	8	163	0.71	0.69	0.00055	9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000270139,9606.ENSP00000384273,9606.ENSP00000428056,9606.ENSP00000458162,9606.ENSP00000483825,9606.ENSP00000500582	CREBBP,MAPK3,IFNAR1,RELA,PIK3R1,ACTG1,IKBKG,AKT3
hsa00591	Linoleic acid metabolism	4	29	1.16	0.81	0.00061	9606.ENSP00000243501,9606.ENSP00000371886,9606.ENSP00000393847,9606.ENSP00000396045	PLA2G12A,JMJD7-PLA2G4B,PLA2G10,PLA2G4B
hsa05410	Hypertrophic cardiomyopathy	6	88	0.85	0.73	0.00064	9606.ENSP00000200181,9606.ENSP00000296585,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000452786,9606.ENSP00000458162	ITGB4,ITGA2,ITGA11,ITGB1,ITGB3,ACTG1
hsa04136	Autophagy - other	4	31	1.13	0.79	0.00076	9606.ENSP00000311318,9606.ENSP00000346437,9606.ENSP00000361306,9606.ENSP00000418447	ATG4D,ATG7,ATG4A,PPP2CA
hsa04371	Apelin signaling pathway	7	133	0.74	0.67	0.00088	9606.ENSP00000263025,9606.ENSP00000289104,9606.ENSP00000306124,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000378517,9606.ENSP00000500582	MAPK3,MRAS,PRKCE,RPS6KB2,PRKACA,SPP1,AKT3
hsa04925	Aldosterone synthesis and secretion	6	94	0.82	0.7	0.00088	9606.ENSP00000306124,9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000387699	PRKCE,PRKACA,CREB3L2,ATF4,CREB3,CREB1
hsa00982	Drug metabolism - cytochrome P450	5	64	0.91	0.7	0.0011	9606.ENSP00000354357,9606.ENSP00000356864,9606.ENSP00000360002,9606.ENSP00000420269,9606.ENSP00000482639	GSTM3,MGST3,GSTA4,ADH7,MGST2
hsa04927	Cortisol synthesis and secretion	5	65	0.9	0.69	0.0012	9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000387699	PRKACA,CREB3L2,ATF4,CREB3,CREB1
hsa05146	Amoebiasis	6	101	0.79	0.66	0.0012	9606.ENSP00000309591,9606.ENSP00000324532,9606.ENSP00000346839,9606.ENSP00000384273,9606.ENSP00000385519,9606.ENSP00000428056	PRKACA,LAMA3,FN1,RELA,CD14,PIK3R1
hsa04920	Adipocytokine signaling pathway	5	68	0.88	0.67	0.0014	9606.ENSP00000363817,9606.ENSP00000384273,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000500582	RXRB,RELA,IKBKG,PTPN11,AKT3
hsa00980	Metabolism of xenobiotics by cytochrome P450	5	69	0.88	0.67	0.0015	9606.ENSP00000354357,9606.ENSP00000356864,9606.ENSP00000360002,9606.ENSP00000420269,9606.ENSP00000482639	GSTM3,MGST3,GSTA4,ADH7,MGST2
hsa04721	Synaptic vesicle cycle	5	72	0.86	0.65	0.0018	9606.ENSP00000253413,9606.ENSP00000290949,9606.ENSP00000302194,9606.ENSP00000329757,9606.ENSP00000434729	ATP6V1E1,ATP6V0D1,ATP6V1G2,ATP6V0C,ATP6V0B
hsa04918	Thyroid hormone synthesis	5	73	0.85	0.64	0.0019	9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000387699	PRKACA,CREB3L2,ATF4,CREB3,CREB1
