"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante"
"CHD1","down",0.676145183554305,12.6562305555912,2.18273554766422,0.0394420317985534,0.897122527377769,TRUE,"up",FALSE
"ECE2","up",0.753362623648313,8.19981470772636,2.17836932570216,0.0398031941638463,0.897122527377769,TRUE,"up",TRUE
"SPRR4","down",-0.688892318314564,10.0845471738195,-2.17814700042936,0.0398216640562934,0.897122527377769,TRUE,"down",TRUE
"FGF7","down",0.807953249593066,13.8282747883062,2.17693753869167,0.0399222770483567,0.897122527377769,TRUE,"up",FALSE
"CRISPLD1","down",0.659048418133814,11.629707169442,2.17330648015966,0.0402257200176389,0.897122527377769,TRUE,"up",FALSE
"CTSS","down",0.802860491785011,13.6359640671257,2.16927581837971,0.0405649962064223,0.897122527377769,TRUE,"up",FALSE
"ARHGAP26","down",0.707302605924292,10.9043607309782,2.16827213215164,0.0406498811816455,0.897122527377769,TRUE,"up",FALSE
"WIF1","down",-1.52844377937754,10.9291275260902,-2.16295100969948,0.0411025902297769,0.897122527377769,TRUE,"down",TRUE
"NAT1","up",0.568604019938908,10.9226301048048,2.15928181125776,0.0414174024678516,0.897122527377769,TRUE,"up",TRUE
"HS6ST2","down",1.05527104516137,8.84786322640676,2.15756620464472,0.0415653441239255,0.897122527377769,TRUE,"up",FALSE
"DTX1","up",0.995505364835739,8.80776104950134,2.15599149471305,0.0417015551818224,0.897122527377769,TRUE,"up",TRUE
"ATF3","up",1.36310414523907,15.3697672058066,2.15377659037707,0.0418938237613493,0.897122527377769,TRUE,"up",TRUE
"TMPRSS4","up",0.747804269669872,8.41236612099998,2.15369159313629,0.0419012179912953,0.897122527377769,TRUE,"up",TRUE
"PACS1","down",-0.993828602107506,9.34452863561856,-2.15262804241954,0.0419938397905937,0.897122527377769,TRUE,"down",TRUE
"IRX6","up",1.01379367211713,8.5415164563579,2.15075383657949,0.0421575086624288,0.897122527377769,TRUE,"up",TRUE
"PRAME","up",0.691551811610988,9.11060262637709,2.15003872921089,0.0422201082589759,0.897122527377769,TRUE,"up",TRUE
"E2F4","up",0.857075495684154,11.3128272340547,2.14957598028793,0.0422606613463325,0.897122527377769,TRUE,"up",TRUE
"CXCL2","down",1.35475059275869,14.1483949705025,2.14672630141053,0.042511168026716,0.897122527377769,TRUE,"up",FALSE
"CD58","up",0.492711608600566,13.6760881404948,2.14424775399916,0.0427301365606713,0.897122527377769,TRUE,"up",TRUE
"PANX1","down",0.826194551847264,10.3134652412978,2.14168862956085,0.0429572891014745,0.897122527377769,TRUE,"up",FALSE
