"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"UTRN","down",0.215105767250001,9.38934850395833,4.46004395299773,0.000511516427033801,0.0189391547795325,TRUE,"up",FALSE,FALSE
"GEMIN4","up",-0.230087303499999,9.66011171466667,-4.44809161847713,0.000523541090350098,0.0189732557060076,TRUE,"down",FALSE,FALSE
"IFRD1","up",0.549290300916667,9.63987141029167,4.45306045809429,0.000518507298411396,0.0189732557060076,TRUE,"up",TRUE,FALSE
"RORC","down",0.294277100833334,7.06163313,4.44988082725565,0.000521722734520743,0.0189732557060076,TRUE,"up",FALSE,FALSE
"ZNF519","down",-0.455231202499999,8.00723338866667,-4.43948113392129,0.000532383324935699,0.0191018645177853,TRUE,"down",TRUE,FALSE
"CCDC19","up",0.454405445250001,6.38559664895833,4.43559530731499,0.000536423828666411,0.0191701014366372,TRUE,"up",TRUE,FALSE
"MARCKSL1","up",-0.399515550666666,9.02579630183333,-4.43566670650201,0.000536349304088518,0.0191701014366372,TRUE,"down",FALSE,FALSE
"KIAA1549","up",-0.228504052666666,8.25207002483333,-4.4278699345454,0.000544550521736419,0.0192373199502635,TRUE,"down",FALSE,FALSE
"AHI1","up",0.209842494833334,9.10758778108333,4.41797476148523,0.000555144756172482,0.0194250651619272,TRUE,"up",TRUE,FALSE
"ZBTB3","up",-0.364897401333332,9.876736331,-4.41624207537244,0.000557021512810361,0.0194560023196661,TRUE,"down",FALSE,FALSE
"TREM1","down",0.671119771166668,6.5631447215,4.41250369118411,0.000561092959207318,0.0195025946184818,TRUE,"up",FALSE,FALSE
"DNAJB4","up",0.505548656166667,9.0148310615,4.41146042303732,0.000562234618449816,0.0195051513521436,TRUE,"up",TRUE,FALSE
"DACT2","down",-0.628085715916666,5.95972477395833,-4.40889959309007,0.000565047083230887,0.0195331765896338,TRUE,"down",TRUE,FALSE
"PLXDC1","up",0.460695486583335,10.095172985375,4.40903887287759,0.000564893746642857,0.0195331765896338,TRUE,"up",TRUE,FALSE
"EED","up",-0.272090604166666,11.08964932625,-4.39307413090435,0.000582750949515062,0.0197008850527673,TRUE,"down",FALSE,FALSE
"WDR75","up",-0.192893702333334,10.03406700825,-4.39109614223373,0.00058500339317421,0.0197343926050403,TRUE,"down",FALSE,FALSE
"PLAC8","up",-0.339074173333333,6.63466974141667,-4.37960284900433,0.000598269382310141,0.0198967417323304,TRUE,"down",FALSE,FALSE
"SYNPO2","up",0.719091263333334,13.851454865,4.36978532008981,0.000609845437066985,0.0200096276880099,TRUE,"up",TRUE,FALSE
"OGFRL1","up",0.2666566605,9.21566511183333,4.36684475811766,0.00061335724679072,0.0200613014445066,TRUE,"up",TRUE,FALSE
"KLF7","down",0.419643622833333,8.33071073591667,4.36245917362633,0.000618633379420983,0.0200881476689503,TRUE,"up",FALSE,FALSE
"BCR","up",0.237063178416667,9.60167170129167,4.35957853107744,0.000622124283347724,0.0201151360376488,TRUE,"up",TRUE,FALSE
"TNFAIP8","up",-0.2746117925,10.7416743054167,-4.35895166883401,0.000622886618766838,0.0201183068578909,TRUE,"down",FALSE,FALSE
"CNTFR","up",-0.48036075875,7.079390362375,-4.35641609950702,0.000625979946276321,0.0201768142019687,TRUE,"down",FALSE,FALSE
"SPATA13","down",0.406128090250001,8.73128329304167,4.35047933533654,0.000633284421528791,0.0203069283237798,TRUE,"up",FALSE,FALSE
"ENTPD1","up",0.387137683416667,7.93072895445833,4.33828835094519,0.000648559245949217,0.0205071655305188,TRUE,"up",TRUE,FALSE
"ATF3","up",2.33487925458333,12.4995879375417,4.32960280845186,0.00065967190572622,0.0207883625301472,TRUE,"up",TRUE,TRUE
"SORBS2","down",0.467186761250002,10.853995096875,4.32802425576787,0.000661712442984054,0.0208315390358668,TRUE,"up",FALSE,FALSE
"GBP2","up",0.278594908333335,10.8009681158333,4.32302706311487,0.000668214895005537,0.0209302149371089,TRUE,"up",TRUE,FALSE
"UBL3","up",-0.191651354166665,11.59378818375,-4.31234558619319,0.000682334375087823,0.0210894028757315,TRUE,"down",FALSE,FALSE
"DNMBP","up",-0.210068655,9.54888445658333,-4.30620902872227,0.000690584004203979,0.0212453724540852,TRUE,"down",FALSE,FALSE
"DMTF1","up",-0.346614137499999,10.8679996579167,-4.29857126782156,0.000700994712196807,0.0213836979551349,TRUE,"down",FALSE,FALSE
"IL2RB","up",-0.647890302166667,7.872495419,-4.29614363623122,0.000704337282389898,0.0214254655291346,TRUE,"down",FALSE,FALSE
"NSUN5","up",-0.252586060833332,11.08499396125,-4.29587188545363,0.000704712466876144,0.0214254655291346,TRUE,"down",FALSE,FALSE
"GRPEL2","up",-0.207326112999999,8.95218813266667,-4.28036249201905,0.000726467870877023,0.0214283871023484,TRUE,"down",FALSE,FALSE
"MDFI","up",-0.271622952416666,7.90732027479167,-4.29014557765834,0.000712666110147597,0.0214283871023484,TRUE,"down",FALSE,FALSE
"UACA","down",0.297148496666668,9.31321790458333,4.29255940682844,0.000709302232681175,0.0214283871023484,TRUE,"up",FALSE,FALSE
"HUS1B","up",0.300936084,6.33287199025,4.26607534383585,0.000747117419341931,0.0217160266172053,TRUE,"up",TRUE,FALSE
"FANCF","up",-0.522508635416666,8.689846629375,-4.2610897081228,0.000754463924270884,0.0218478127259505,TRUE,"down",FALSE,FALSE
"SPAG9","down",0.182566282416666,9.386876187625,4.25201838201263,0.000768021111335332,0.0220710875118571,TRUE,"up",FALSE,FALSE
"RGS9","up",0.490332059583334,7.798227188125,4.24511698370489,0.000778502169154712,0.0222126899907945,TRUE,"up",TRUE,FALSE
"MAPT","down",0.400859789000001,7.26961935966667,4.24365935307327,0.000780734514057157,0.022221360004076,TRUE,"up",FALSE,FALSE
"ZNF295","down",0.584649770727271,8.86060355145455,4.29447588106928,0.00082755890800709,0.0227154685420462,TRUE,"up",FALSE,FALSE
"ZFP161","up",-0.210006148499999,8.22195350258333,-4.21280419307096,0.000829557252789027,0.0227502232644843,TRUE,"down",FALSE,FALSE
"IGSF9","up",0.215858148916667,8.70830996995833,4.21099734178775,0.000832511283639884,0.0227509152201042,TRUE,"up",TRUE,FALSE
"ASB14","up",-0.177900049,6.02473650758333,-4.20978153303061,0.000834505069566928,0.0227853616182633,TRUE,"down",FALSE,FALSE
"GNB4","up",0.219462597500002,8.20802142075,4.20487083929502,0.000842607866652951,0.0229049729719648,TRUE,"up",TRUE,FALSE
"MYB","down",0.710265665166668,9.09865061866667,4.20509409750432,0.000842237743517711,0.0229049729719648,TRUE,"up",FALSE,FALSE
"MTERFD1","up",-0.206223309333332,9.37924748508333,-4.20042860739304,0.000850006993604218,0.022962593778695,TRUE,"down",FALSE,FALSE
"CABLES1","down",0.289233476083334,10.109434209125,4.19102711411875,0.000865886321488611,0.0231538896568796,TRUE,"up",FALSE,FALSE
"SLAMF7","down",-0.755237959749999,8.117395383375,-4.1873468215159,0.000872184731231251,0.0232622523337489,TRUE,"down",TRUE,FALSE
"RIPK1","up",0.524209149500002,9.55345807633333,4.18187248241124,0.0008816402216794,0.0233739974129883,TRUE,"up",TRUE,FALSE
"SNAP25","up",-0.423447992249999,5.74266436945833,-4.17754623005922,0.000889186778986638,0.0234277622287007,TRUE,"down",FALSE,FALSE
