"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"00350",14,0.293842099060379,0.772612922939424,0.8,"ADH7/ADH1A/ADH1C/GOT1/TH/LCMT2/ALDH3B2/HEMK1/TRMT11/ALDH1A3/ALDH3B1/AOC2/IL4I1/HGD",1
"00983",15,0.274111675066274,0.777439269283958,0.8,"UGT1A7/UGT1A6/NAT1/DPYD/GUSB/TK2/NAT2/IMPDH1/UMPS/TK1/UGT2B7/UCKL1/UPP1/UGT2A1/UGT1A9",1
"04972",29,0.219517964230604,0.7510900660094,0.8,"PLA2G10/ATP2A1/ATP1B3/ATP1B4/ATP2A2/JMJD7-PLA2G4B/CELA3B/RAC1/PLCB1/KCNQ1/PRKCB/GNAS/SCTR/ADCY9/PLA2G12A/CTRB1/RHOA/ATP2A3/CA2/ATP1A2/PLA2G4B/SLC4A4/SLC9A1/PLA2G3/RAP1A/AMY2A/ATP2B2/ATP1B1/PLA2G4E",1
"03320",25,0.239326493874405,0.739527972346403,0.85,"ACSL5/ME1/FABP4/DBI/SLC27A2/CPT1A/PLTP/RXRB/CYP27A1/ACADL/PCK2/SCP2/CD36/GK/AQP7/ILK/NR1H3/FABP1/SCD5/PPARD/LPL/PDPK1/CPT1B/SORBS1/FABP6",1
"04115",20,0.27648099647273,0.772069785795703,0.85,"BAX/CASP8/IGFBP3/CDK2/CCNG1/RRM2B/SESN3/ZMAT3/TP53AIP1/SIAH1/PTEN/CHEK2/TP73/EI24/GADD45G/IGF1/ATR/CCNB3/CDKN2A/CCND3",1
"04340",18,0.265147062229886,0.637269047264985,0.85,"PTCH2/GLI3/WNT5A/BMP4/BMP6/BMP8A/BMP2/ZIC2/GAS1/CSNK1G3/WNT2/BMP5/CSNK1A1/FBXW11/PRKACA/PRKACG/WNT3A/IHH",1
"05131",26,0.264503520915989,0.797172799911822,0.85,"ARPC3/ACTG1/PFN1/NOD1/CDC42/PFN2/RAC1/CRK/ABL1/IKBKG/MAPK14/MAPK1/MAPK11/ARPC5/MAPK3/PFN4/RELA/NFKB1/MAD2L2/MAPK10/CD44/FBXW11/ITGB1/ELMO1/ROCK1/NFKBIA",1
"00053",8,0.32417191116718,0.661446199608468,0.9,"UGT1A7/UGT1A6/UGDH/ALDH3A2/ALDH9A1/UGT2B7/UGT2A1/UGT1A9",1
"00860",14,0.358973972985724,0.872232842930718,0.9,"FTL/EARS2/UGT1A7/UGT1A6/BLVRA/UROD/GUSB/COX15/UGT2B7/UROS/UGT2A1/UGT1A9/ALAS1/HMOX2",1
"03060",11,0.291842428882938,0.774166518895867,0.9,"SEC61B/SEC61G/SRP54/SEC61A2/SRP9/SEC11A/SRPRB/SEC61A1/SRP72/OXA1L/SEC63",1
"04114",38,0.170642838093849,0.630804502774199,0.9,"PPP2R5B/ANAPC2/CDC20/CDK2/INS/CAMK2G/CDC23/CDC16/ANAPC10/RPS6KA1/PPP1CA/PPP2R5A/REC8/ANAPC13/YWHAZ/YWHAE/PKMYT1/ADCY9/PTTG2/PPP2R5C/PPP2CA/MAPK1/SKP1/AURKA/BUB1/ANAPC5/MAPK3/SPDYA/FBXO5/MAD2L2/MAP2K1/CDC27/IGF1/CDC25C/FBXW11/PRKACA/CAMK2B/PRKACG",1
"04670",43,0.244980171361804,0.822479119858255,0.9,"CLDN22/CD99/VCAM1/ACTG1/CLDN8/SIPA1/CDC42/MYL12B/RAC1/F11R/OCLN/PRKCB/CLDN18/VAV3/CLDN6/RAPGEF3/CLDN15/PIK3CA/CLDN19/JAM2/MAPK14/RHOA/MAPK11/CLDN5/CYBA/ESAM/CXCL12/CTNND1/RAC2/VAV1/MYL7/RAPGEF4/BCAR1/RAP1A/ARHGAP5/CLDN23/PIK3R1/THY1/CTNNA1/ARHGAP35/PTPN11/ITGB1/ROCK1",1
"04976",25,0.251315911633754,0.692243333373339,0.9,"SLC22A1/EPHX1/ATP1B3/ATP1B4/ABCB11/AQP1/KCNN2/GNAS/ABCC4/SCTR/ADCY9/SLC9A3/CA2/ATP1A2/SLC4A4/SLC9A1/ABCC3/NR0B2/SLC22A8/PRKACA/ATP1B1/SLC10A1/LDLR/SLC51B/PRKACG",1
"05143",11,0.257432883593836,0.727272291017766,0.9,"VCAM1/PLCB1/IL12A/PRKCB/HPR/F2RL1/HBA2/MYD88/IDO2/IL1B/TLR9",1
"00270",11,0.183123721018514,0.522569370507988,0.95,"GOT1/APIP/CTH/SRM/AHCY/CDO1/LDHA/DNMT3A/DNMT1/CBS/IL4I1",1
"00330",13,0.17874543896569,0.475205995978543,0.95,"OAT/GOT1/GATM/ALDH3A2/SRM/P4HA3/GLUD2/ALDH9A1/ALDH4A1/ALDH18A1/GAMT/GLUL/NOS3",1
"00520",17,0.207658946963347,0.640653312647272,0.95,"PGM1/CHI3L1/UGDH/PGM2/NPL/GALK2/GNPDA2/CYB5R1/FPGT/HEXB/CHIA/GALT/UXS1/GNE/GMPPB/HK1/NANS",1
"00561",16,0.192304676827072,0.62418985088546,0.95,"AKR1B1/AGPAT2/ALDH3A2/AGPAT4/AGK/MGLL/PNLIPRP3/GK/ALDH9A1/MOGAT3/AKR1A1/DGKZ/DGKI/LPL/LCLAT1/GLA",1
"00562",21,0.232139591042511,0.661696045360063,0.95,"INPP5E/CDIPT/INPP5K/MINPP1/INPP5A/PLCB1/IPPK/PTEN/PIK3CA/PLCE1/IMPA1/ISYNA1/PIP5K1A/INPP4A/PIKFYVE/PIP4K2A/PIP5K1C/PI4KA/PI4K2B/PIK3C2A/ITPKB",1
"04080",61,0.18045727862653,0.615854583734752,0.95,"S1PR3/ADRA1D/S1PR1/ADORA1/GRIN2C/GPR50/GRM8/LPAR6/TACR1/CHRNA7/BDKRB1/CHRM1/HTR2A/GIPR/TSHR/NR3C1/GZMA/MCHR1/LPAR3/HTR2B/PTGER3/GABRG2/HRH1/GH1/P2RY10/LEPR/GABRG3/F2RL1/F2RL3/PTGFR/AVPR2/SCTR/TSPO/MTNR1B/CHRM5/CRHR1/ADRB2/GABRA5/GRIK5/CYSLTR2/CHRNA2/P2RX6/OPRM1/VIPR1/PTGDR/F2/CSH1/OPRD1/HCRTR1/GABBR1/GRIK2/GPR83/S1PR2/UTS2R/PTAFR/GPR35/GRIK1/GRIN1/GRIK3/HTR5A/ADORA2A",1
"04120",55,0.159252203799937,0.554475191102015,0.95,"UBE2E3/PIAS3/BIRC2/UBE2D4/ANAPC2/TRIM32/KLHL13/UBE2D1/CDC20/HERC4/CDC23/CDC16/ANAPC10/UBE2G1/SIAH1/SAE1/UBE2A/UBE2E2/ANAPC13/FANCL/CBLB/UBA6/SOCS1/UBA7/CUL4B/SKP1/TRAF6/UBOX5/ANAPC5/SMURF1/UBE2J2/PPIL2/UBE2J1/UBE3B/PML/MGRN1/PIAS4/UBE2K/UBE2F/CDC27/UBR5/NEDD4L/UBE2D3/BIRC3/UBE2U/WWP2/BRCA1/UBE4A/MAP3K1/HUWE1/SMURF2/BIRC6/FBXW11/UBA1/CBL",1
"04142",51,0.179970986748184,0.644290664550987,0.95,"NPC2/LAPTM4A/SMPD1/ATP6V1H/CD164/IDUA/LAMP2/SLC11A2/CTSB/ATP6V0B/TCIRG1/ATP6V0C/PLA2G15/AP4M1/NAPSA/AP4B1/GGA2/CTNS/DNASE2/GUSB/CLN3/LAMP1/TPP1/SUMF1/GM2A/CTSA/ABCA2/CLTC/ENTPD4/ATP6V0D1/DNASE2B/HEXB/IDS/CLN5/AP4S1/ASAH1/PPT1/HYAL1/AP1B1/CLTA/ARSA/MCOLN1/ATP6V0A1/CTSS/M6PR/ATP6V0A4/GLA/PPT2/NAGPA/GGA3/AP3S2",1
"04150",16,0.148148148148148,0.448812793908333,0.95,"STRADA/INS/CAB39L/RPS6KA1/PIK3CA/RHEB/HIF1A/MAPK1/RPS6KB2/VEGFA/MAPK3/AKT3/RPS6/IGF1/PIK3R1/PDPK1",1
"04514",53,0.179933613100888,0.577232168878993,0.95,"HLA-DPA1/CLDN22/CD99/VCAM1/CLDN8/ICAM2/HLA-DQB1/CD34/F11R/OCLN/HLA-DQA2/MPZ/CLDN18/CD8A/CLDN6/CLDN15/CD276/HLA-DMB/CLDN19/JAM2/CD86/CD8B/CD58/MAG/HLA-DQA1/HLA-DMA/HLA-DRB1/CLDN5/ICAM3/CD40/ESAM/HLA-DRA/L1CAM/ITGAV/CDH1/CNTN2/HLA-DOA/CD6/NEO1/CADM1/PTPRC/CLDN23/NFASC/PVR/CADM3/PTPRF/NCAM1/VCAN/HLA-A/GLG1/ITGB1/NRXN3/HLA-F",1
