"PATH","Nh","NES_normal_fenotipo","pvalue_normal_fenotipo","p.adjust_normal_fenotipo","NES_preranked_genesetperm","pvalue_preranked_genesetperm","p.adjust_preranked_genesetperm","Direcao_normal","Direcao_preranked","Direcao_concorda","Sig_normal_FDR05","Sig_preranked_FDR05","Sig_so_no_preranked"
"05131",57,1.17316380670135,0.221556886227545,0.41999479302265,1.60311331145815,0.001998001998002,0.0120990120990121,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"00062",7,1.16458497499381,0.229540918163673,0.431378622066212,1.27484977907834,0.0869130869130869,0.167673034929672,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"04710",18,1.15442764335635,0.241516966067864,0.450005970964055,1.37457952919044,0.04995004995005,0.112258875145473,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"04622",55,1.15827116459224,0.245508982035928,0.45356744138841,1.62230416340393,0.004995004995005,0.0241980241980242,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"00601",25,1.16722554086122,0.253493013972056,0.464382160049649,1.43932884096569,0.024975024975025,0.0663970176165298,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"04020",170,1.13048673220913,0.263473053892216,0.478642714570858,1.74202755796058,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"00910",23,1.14198244552938,0.271457085828343,0.485062661562122,1.40515533885956,0.036963036963037,0.0875863267167615,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"05220",69,1.1198557821118,0.271457085828343,0.485062661562122,1.57781012312759,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04380",121,1.12144299588471,0.323353293413174,0.570890219560878,1.6871057676595,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05215",83,1.08906502300315,0.325349301397206,0.570890219560878,1.57295261747233,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05212",66,1.11178776733974,0.327345309381238,0.570890219560878,1.54483945382073,0.00699300699300699,0.0298916769505005,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04512",82,1.14221743655008,0.341317365269461,0.585883351407421,1.6449622764537,0.001998001998002,0.0120990120990121,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04960",38,1.07302787189093,0.341317365269461,0.585883351407421,1.40613237840153,0.020979020979021,0.0593951503042412,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"00790",10,1.09234254227657,0.349301397205589,0.593358737071312,1.14828138893335,0.145854145854146,0.237285102956745,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"04510",184,1.10813996947354,0.357285429141717,0.593358737071312,1.72440495573891,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04962",44,1.08030215491421,0.359281437125749,0.593358737071312,1.41978264004747,0.020979020979021,0.0593951503042412,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"05120",61,1.07868414594276,0.359281437125749,0.593358737071312,1.48818786256707,0.004995004995005,0.0241980241980242,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05412",74,1.07424698431354,0.359281437125749,0.593358737071312,1.55040428679036,0.00699300699300699,0.0298916769505005,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05219",37,1.09692636855478,0.377245508982036,0.616975005213454,1.38803574969777,0.031968031968032,0.078303718753157,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"05142",99,1.0618415065294,0.379241516966068,0.616975005213454,1.57652734808186,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04150",44,1.07291983543873,0.387225548902196,0.625297553042064,1.45130844729325,0.016983016983017,0.0536564884390971,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"04610",68,1.06951223500232,0.393213572854291,0.62887363958215,1.48453160795799,0.00799200799200799,0.0316774134955953,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04722",119,1.06691438297715,0.395209580838323,0.62887363958215,1.59397825427508,0.001998001998002,0.0120990120990121,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04810",197,1.0583063593889,0.425149700598802,0.671613295148833,1.67212191704546,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04115",63,1.05873878128019,0.445109780439122,0.691269942384734,1.47017131391387,0.00999000999000999,0.0375486582383134,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04144",175,1.03318052180653,0.445109780439122,0.691269942384734,1.5908769252572,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05221",54,1.03933463476041,0.447105788423154,0.691269942384734,1.415778325551,0.01998001998002,0.0593951503042412,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"00512",25,1.03281052501702,0.457085828343313,0.699859023212317,1.2648699999326,0.0779220779220779,0.154427390791027,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"00360",17,1.01393621761504,0.459081836327345,0.699859023212317,1.23634683645117,0.0889110889110889,0.168544498979282,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"05210",60,1.0059756146061,0.491017964071856,0.743346640053227,1.40272558697527,0.016983016983017,0.0536564884390971,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"05100",67,1.02421723425035,0.506986027944112,0.762227269598733,1.43160393545882,0.011988011988012,0.0428424034981412,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
