"Gene","logFC_GSE12852","P.Value_GSE12852","adj.P.Val_GSE12852","logFC_GSE53868","P.Value_GSE53868","adj.P.Val_GSE53868","Dir_12852","Dir_53868","Concordante"
"TCEAL3",-0.072401365227545,0.840987932040203,0.989112397484782,-0.0583951816666651,0.393615380427606,0.647488861276223,"down","down",TRUE
"TCEAL4",-0.0435813685614748,0.879538434234923,0.991908372835379,-0.104781819999999,0.132223809092064,0.355682970779936,"down","down",TRUE
"TCEAL7",0.27099043320187,0.268517414470304,0.974763679508199,0.0628903237500012,0.252445667377057,0.508765175223697,"up","up",TRUE
"TCEAL8",0.220263026529552,0.41733440374385,0.974763679508199,-0.137718030833332,0.0476855657787905,0.197569559851351,"up","down",FALSE
"TCEB1",0.227330427555036,0.358300907822035,0.974763679508199,0.240241940833335,0.0060700358595001,0.0606821554243084,"up","up",TRUE
"TCEB2",0.0616033838623108,0.80619109092367,0.98600519494439,0.0306159566666672,0.567431507583537,0.780419254764326,"up","up",TRUE
"TCEB3",0.0771398250034972,0.835030693022472,0.989112397484782,0.102599505166667,0.159292184369363,0.392916639525649,"up","up",TRUE
"TCEB3B",0.0739955193233162,0.823534389744719,0.988277732618667,0.0184901864166674,0.727570675296475,0.876196726424417,"up","up",TRUE
"TCEB3C",-0.143646912054248,0.69533381319369,0.976706202264256,0.164014020416667,0.00736696413792121,0.0679448826635464,"down","up",FALSE
"TCERG1",0.160442560886302,0.554942949200896,0.974763679508199,-0.0780279200833318,0.0630561843545052,0.233776609027942,"up","down",FALSE
"TCERG1L",-0.142366251438544,0.663048589232578,0.974763679508199,-0.117771191166666,0.0353541436948322,0.166040500738486,"down","down",TRUE
"TCF1",0.232600916593754,0.64452090073033,0.974763679508199,0.0303088340000007,0.369207196049586,0.626988358509742,"up","up",TRUE
"TCF12",-0.0460754593669061,0.866218462363598,0.991908372835379,0.043702783916666,0.729772346888723,0.877466386600356,"down","up",FALSE
"TCF15",0.253143458030087,0.447018768796944,0.974763679508199,-0.0333553166666662,0.766048494094686,0.895289352400104,"up","down",FALSE
"TCF19",-0.0830423983860969,0.829633838341163,0.989112397484782,-0.0777294946666656,0.0989732691682706,0.302092084439735,"down","down",TRUE
"TCF2",0.449501525469491,0.134039622258413,0.974763679508199,0.0107349030000006,0.749401958131781,0.88691300297195,"up","up",TRUE
"TCF20",0.127130367675652,0.683237854016383,0.976039958285367,-0.0231041646666648,0.657814405121756,0.837988452988202,"up","down",FALSE
"TCF21",0.0133522296445179,0.968723712382996,0.997779887609252,0.400385627583335,0.0166069959732131,0.108133398759363,"up","up",TRUE
"TCF4",0.382430416985195,0.213529007553857,0.974763679508199,0.015870987500002,0.81902215418978,0.919782349636503,"up","up",TRUE
"TCF7",0.379626267963476,0.330981439907141,0.974763679508199,-0.0757512975833327,0.356119938486456,0.614912960747495,"up","down",FALSE
"TCF7L1",-0.150120419296257,0.636992987783652,0.974763679508199,0.0863945308333352,0.209393771521515,0.458428943783554,"down","up",FALSE
"TCF7L2",0.0746584313818715,0.818929555459718,0.986839253463319,-0.0230347361666657,0.666842758328931,0.84310458116848,"up","down",FALSE
"TCF8",-0.567088836379801,0.145614849840491,0.974763679508199,0.111172444750001,0.208318345656972,0.456994326196938,"down","up",FALSE
"TCFL5",0.399507583242153,0.200352785486387,0.974763679508199,-0.120372217999999,0.00477898765826908,0.0529763483830671,"up","down",FALSE
"TCIRG1",0.27317194179028,0.440803831451592,0.974763679508199,-0.0297023624999979,0.685710001790783,0.853465965906898,"up","down",FALSE
"TCL1A",0.380483623445357,0.370659730930093,0.974763679508199,-0.121714358083332,0.218514919600858,0.469565517688682,"up","down",FALSE
"TCL1B",0.197718399787273,0.701004896443661,0.977080388019528,-0.2439174185,0.00199387230540271,0.0337589312145898,"up","down",FALSE
"TCL6",0.270587550104993,0.320459215723544,0.974763679508199,0.0349814912500011,0.322907022457342,0.583131872706877,"up","up",TRUE
"TCN1",1.00060714144599,0.0057838066174718,0.695672224274735,0.00433030775000014,0.964170359919995,0.985191930791348,"up","up",TRUE
"TCN2",0.174614304827663,0.616674274981486,0.974763679508199,0.0396686550000014,0.645480451996654,0.829872914781531,"up","up",TRUE
"TCOF1",-0.216744920167663,0.562958957263956,0.974763679508199,-0.0023535439166655,0.968196563215623,0.987066198970925,"down","down",TRUE
"TCP1",0.342512147058387,0.299861185367715,0.974763679508199,0.0275500000000016,0.631427665960459,0.821041342864104,"up","up",TRUE
"TCP10L",0.361429223859005,0.211187673111333,0.974763679508199,-0.130876687333333,0.0689177648429887,0.246422645477715,"up","down",FALSE
"TCP11",0.0199097735592286,0.955763500349096,0.997075416516263,0.0306675543333338,0.679340776866495,0.84995216052672,"up","up",TRUE
"TCTA",-0.00096328179829533,0.997245279738815,0.999748227003823,-0.0829676062499999,0.180564527459734,0.421620274834962,"down","down",TRUE
"TCTE3",0.490649329613525,0.126301637744882,0.974763679508199,0.0699118809166672,0.0813196415703356,0.270792401979795,"up","up",TRUE
"TDG",0.247664917732942,0.455105376215626,0.974763679508199,0.0532423133333344,0.32671559609892,0.586493917102784,"up","up",TRUE
"TDGF1",-0.12361230047747,0.757205117125024,0.980450821995181,-0.121853388499999,0.117249512969471,0.333013885128468,"down","down",TRUE
"TDO2",0.187452346545067,0.596303757672631,0.974763679508199,0.00230965983333436,0.974630850441954,0.989502688610762,"up","up",TRUE
"TDP1",0.39258050430176,0.377482068576089,0.974763679508199,-0.0627246039999998,0.263805456893127,0.520838934844532,"up","down",FALSE
"TDRD1",0.191989643455977,0.529963504172029,0.974763679508199,-0.0726704085,0.188603623892679,0.431729173537153,"up","down",FALSE
