"GeneSymbol","Direction","logFC_SUI","logFC_POP","adj.P.Val","Direcao_POP","Concordante"
"ANAPC13","up",1.34870402296325,-0.0137410946666648,0.894892535853018,"down",FALSE
"ANAPC2","up",2.68095360374936,0.0161345746666682,0.881668710277976,"up",TRUE
"ANAPC5","up",1.28716327350968,-0.0542760083333333,0.452653614570443,"down",FALSE
"ANG","up",2.60043150043735,0.0316572358333342,0.903088717230791,"up",TRUE
"ANGEL1","down",-3.93395893234052,-0.202211215416667,0.0295633278324979,"down",TRUE
"ANGPT4","down",-1.26020081681741,0.251370998833334,0.0434399079557058,"up",FALSE
"ANGPTL3","down",-3.1279120692853,-0.0512751156666662,0.579046223623873,"down",TRUE
"ANGPTL7","up",1.39433188661658,0.173245709666668,0.809731092574868,"up",TRUE
"ANK1","down",-1.79807810306454,0.29905551375,0.0492717740705758,"up",FALSE
"ANK2","down",-4.65944333250798,0.359660441416666,0.0630405547578832,"up",FALSE
"ANKAR","up",1.70945686696924,-0.422414316333333,0.0119727756319591,"down",FALSE
"ANKFN1","up",1.1674859403678,-0.163137324,0.444022415199648,"down",FALSE
"ANKFY1","down",-5.1267207672045,-0.292460979,0.0308001683929912,"down",TRUE
"ANKH","up",1.96519227506663,0.140253536250001,0.205367409143763,"up",TRUE
"ANKHD1","up",2.00539934095513,-0.0384688499999989,0.679071196209742,"down",FALSE
"ANKRA2","up",1.0471696761839,-0.308447125666666,0.091636633438962,"down",FALSE
"ANKRD10","up",1.09874866114077,-0.134746099166666,0.131025411383216,"down",FALSE
"ANKRD11","up",1.77843863216158,-0.0931623891666639,0.30631448769457,"down",FALSE
"ANKRD12","down",-2.72232323431401,0.033110537166668,0.7745012108103,"up",FALSE
"ANKRD13B","down",-2.05569186848696,-0.0688351994166663,0.535506021173878,"down",TRUE
"ANKRD13C","up",1.73776402031095,-0.0359698869166648,0.565065697073819,"down",FALSE
"ANKRD13D","down",-2.8719864918973,-0.0792976373333324,0.284135560570231,"down",TRUE
"ANKRD17","down",-1.88610718463137,0.099681719166668,0.315244609303044,"up",FALSE
"ANKRD26","down",-3.00106975840297,-0.0904898730833315,0.380803994242985,"down",TRUE
"ANKRD27","up",1.10535651950505,0.00179704733333377,0.992536991086672,"up",TRUE
"ANKRD28","down",-1.33041039429974,0.00784801316666734,0.971028633295209,"up",FALSE
"ANKRD33","up",1.38914809412044,0.0635795861666673,0.376431303422827,"up",TRUE
"ANKRD46","up",1.71858371557544,-0.215753559083332,0.0901676052273237,"down",FALSE
"ANKRD49","up",1.88488912650255,-0.254215707666665,0.0273601218745258,"down",FALSE
"ANKRD54","down",-1.37956923036447,-0.0704397048333329,0.375508037041249,"down",TRUE
