"TERM_ID","Count","geneID","p.adjust","par"
4060,34,"CSF3/TGFBR1/BMP2/LTBR/CCL5/CX3CR1/ACVR1B/TNFSF9/TGFBR2/TNFSF14/IL2RA/TNFRSF21/CSF1R/TNFRSF1A/CCL19/IL5RA/CD40/IL12A/GH1/CCL18/LIF/TNFSF11/TNFRSF11A/TGFB1/CCR6/CSF2RA/FLT4/CTF1/TNFRSF19/IL25/MET/IL15/CCL1/EDA",0.000502471729874955,"Wei2020_x_GSE53868"
4060,46,"CCL18/IL5RA/TNFSF11/TNFSF9/CCR2/IL12RB1/FLT3/CCR7/CSF3/MET/CCL21/ACVR1B/TNFSF4/IFNGR2/TGFBR1/CXCL12/LEPR/CXCL6/GDF5/IL6ST/LTBR/TNFRSF10A/BMP2/IL12A/TGFBR2/CSF2RB/EGFR/CCL25/CCL20/IL1RAP/CNTFR/CCL24/TNFRSF19/BMPR2/TNFRSF21/CCL27/CTF1/TGFB1/IL2RB/CD40/IL2RG/IL15/CCL1/CCL13/TNFRSF1A/TNFRSF18",0.0290985257256763,"Wei2020_x_GSE12852"
4110,3,"CCNH/SMAD2/TGFB3",0.0025525309188873,"Chen2003_x_GSE53868"
4110,18,"ATR/YWHAZ/CDK2/ABL1/GADD45G/SMAD3/CCNB3/E2F1/ANAPC10/TGFB1/CDC25C/E2F3/CDC20/CDC14A/ANAPC2/STAG2/CCNA1/MCM3",0.00431292441633765,"Wei2020_x_GSE53868"
4110,4,"TGFB3/CCNH/CDK4/SMAD2",0.0049942116452559,"Chen2003_x_GSE12852"
4120,2,"TRIP12/DDB2",0.02210517220205,"Chen2003_x_GSE53868"
4120,16,"SMURF1/FBXW11/BIRC6/UBE2D1/MGRN1/PML/UBE4A/ANAPC10/BRCA1/UBE2E3/SIAH1/TRAF6/CDC20/NEDD4L/ANAPC2/UBE2D4",0.0268319151796889,"Wei2020_x_GSE53868"
4120,26,"CDC23/HERC4/UBE2D4/CBLB/ANAPC5/ANAPC10/PPIL2/SOCS1/UBE2E3/SIAH1/UBE2D1/BIRC2/UBE2A/ANAPC13/UBE2G1/ANAPC2/TRAF6/KLHL13/FANCL/BRCA1/SAE1/SMURF1/CDC16/PIAS3/UBE2J2/CBL",0.0220762276677514,"Wei2020_x_GSE12852"
4141,26,"CRYAB/EDEM3/PLAA/SEC24D/BAX/ATF4/MAN1B1/DERL1/UBE2D1/DNAJB12/HSPBP1/UBE2E3/MAPK10/NFE2L2/HSP90B1/RPN2/BAG2/BCAP31/SEC61G/SIL1/RNF5/RRBP1/CAPN2/UBE2D4/DERL2/SEC61B",6.53801475144704e-05,"Wei2020_x_GSE53868"
4141,31,"DERL2/DNAJB12/HERPUD1/UBE2D4/BAG2/PREB/TXNDC5/DAD1/WFS1/UBE2E3/UBE2D1/CAPN2/SEC61A2/DDOST/DERL1/ATF4/SIL1/PLAA/TRAM1/UBE2G1/HSPBP1/NGLY1/MAN1B1/BAX/SEC61B/EIF2AK1/NFE2L2/RRBP1/SSR4/UBE2J2/SEC61G",0.00902423733144277,"Wei2020_x_GSE12852"
4142,23,"IDS/GGA3/DNASE2/ENTPD4/ARSA/SMPD1/ATP6V0A1/AP1B1/AP4M1/ATP6V0B/M6PR/ATP6V0A4/ABCA2/AP3S2/GM2A/HYAL1/ATP6V1H/NAGPA/DNASE2B/CLTA/AP4S1/CLN3/SUMF1",3.95509086245731e-05,"Wei2020_x_GSE53868"
