"GeneSymbol","Direction","PValue","FDR","FoldChange","EntrezID","logFC"
"GNLY","up",0.0001821690327,0.010639614,3.9174119,10578,1.96990082980639
"SAPCD2","up",0.0001845968246,0.010742913,10.4758398,89958,3.38899399768844
"RAB34","up",0.0001849948043,0.010742913,12.3495971,83871,3.62639207019419
"NEIL2","down",0.0001861178752,0.010777338,3.8320879,252969,1.93813065382975
"GNAS","up",0.0001866485858,0.010777365,2.4722001,2778,1.30579551977722
"PAMR1","up",0.0001898094709,0.010848522,3.9277325,25891,1.97369667759945
"FAM110B","down",0.0001906463977,0.010848522,78.1235535,90362,6.28768566751494
"CD99","up",0.0001918499017,0.010848522,14.2417073,4267,3.83205020225895
"C12orf74","down",0.0001921349161,0.010848522,6.0493444,338809,2.59677879823527
"FAM86C1","up",0.0001923768661,0.010848522,4.9104469,55199,2.29585433025768
"ART4","up",0.0001934183557,0.010848522,7.1816541,420,2.84431616814708
