ID	GeneSymbol
135233	SUPV3L1
137937	CSTF2
159991	IGF1R
224255	MGC33889
177349	GPR77
168572	DNAI2
226996	MRPL50
125937	DHRS3
208790	LRRTM3
160938	TGM1
141965	FLJ20694
112524	CHST6
111384	OR2A14
159630	EGFL6
218631	MGC16703
130335	KIF13B
181639	ASAH3L
137923	LASS2
151341	COMMD10
113536	PPIF
184102	ARF3
104634	MGC26610
171778	IGLL1
203648	SORD
102753	FAM18B
126337	KIAA1189
115397	RTN4R
213145	C21orf45
162656	DLGAP4
114999	FLJ43980
205480	CSF2RB
159576	STX3A
150161	RCE1
150919	SLC2A10
213652	LETMD1
222840	C10orf47
216566	ITPR3
192798	SUCLG2
150353	IGFBP6
142421	LOC112869
222226	FLJ46156
215946	PIM3
695977	DUX2
102229	TCFL5
167201	VPS13A
160545	CCDC12
108206	MALT1
115497	CSMD1
145203	NT5C3
123145	ABCA7
105150	SSX2,SSX7,SSX4
131198	PDE6A
183616	PTPNS1
171968	PPP1R3F
153788	LPIN1
126449	CAPG
168970	PTPRN
200118	DUSP19
206391	INSRR
125134	DBP
189918	PQLC2
207590	CLEC3B
134009	CDH12
193194	C6orf84
213172	GNE
230370	LOC255189
190878	MNDA
135343	BDKRB2
226080	C21orf90
170327	C20orf3
224989	DNAJA5
103211	ARMC6
215844	OR2J2
173001	BAT3
134780	BLOC1S1
164529	MGC2744
113221	SRP46
214492	USP32
187283	PLUNC
210908	na,LOC65121
102972	LIN7B
173993	BBP
182859	TRUB1
110475	C6orf15
10708944	CUTL2
206073	SCYL1
183780	FBXO3
165653	KCNJ8
178585	VEPH1
146430	TMED5
105119	TK1
216999	C20orf100
190596	ACAS2L
233392	OR1K1
177367	TGFB1I4
142638	SIN3A
224749	WDR36
179468	GTPBP3
142257	IL2RG
148541	RAB3C
143151	NF2
101566	MGC45474
124485	FBXO27
158219	C21orf25
196852	NPHP4
132165	IFNA13
125301	ATE1
166727	SLC34A2
126413	MPP5
146652	KIAA0703
107362	RAB5C
168815	USP20
183157	EFNA1
172276	TFF2
152147	CGI-69
206705	SIRPB2
204657	OR52M1
157377	GOSR1
128553	FMO4
104942	BIVM
183067	NALP5
150045	EP300
150310	PHTF1
211589	ZNF300
114452	ANUBL1
198813	ACACA
129811	ASH2L
162380	CDH18
235322	MGC50722
235100	OTOA
180208	NF2
146373	NLGN4X
196815	FBXO39
112622	KIAA1229
204565	RPRM
223980	BCOR
100939	HABP4
144041	C14orf173
207726	HOXB9
107957	DKFZP586A0522
165464	IL1F6
111645	C7orf25
143589	ARHGDIB
119026	CROT
171056	CRTAP
181315	MAGEA10
208200	IFNA21
165064	MTCH2
116812	MYL3
210648	PRNP
185142	CRMP1
131551	SLC3A2
178105	C10orf10
180064	BCL2
214284	C6orf211
210417	IL1RAP
145509	KRTAP3-2
138737	PLXNA1
306773	OR2T33,OR2T12
216175	BRAP
173713	KRTAP9-4
129947	ANKRD30A
180410	TTC8
138873	HPS3
174536	HIST1H3I
167511	GAL
159086	ZNF212
154754	FRAS1
222873	SPOCK2
210556	SIP1
135507	CLOCK
112548	KIAA1280
164265	EVL
132901	GGA2
129575	PPP1R12B
200353	na,LOC136242
115317	LOC57117
149869	C1QTNF7
159727	HERC5
224737	IQCE
169776	OPHN1
180328	C9orf93
187019	AKR1B10
175602	QDPR
122705	LIAS
154091	MYL1
136902	STCH
162138	SMARCA5
170096	HCA112
219201	WHSC1
221776	MGC39581
162178	BCAT2
177416	MS4A5
150510	ILKAP
143310	C10orf26
176573	MGC12981
117683	TECTB
154643	DACH2
137911	WDFY3
126775	KCNG4
151390	PRKG1
139007	HDCMA18P
190614	RBPMS
147250	TRADD
135806	ZNF183
116777	LOC58486
158876	TMEM4
157246	NAV1
161937	MGC29875
151054	P15RS
121641	MGC2752
173455	LOC85865
167403	SYN2
200292	ZCCHC14
148800	TNT
106732	ABCA1
184968	FIBCD1
199193	MGC33948
123143	AREG
203969	KLF16
130046	REGL
220277	NCOR2
182939	OFD1
184221	HRH1
143717	TAPBP
161620	SULT1C3
194271	TMPRSS2
115969	UBE4B
206258	OR3A4
672540	KRTAP19-4
160319	ERG
107675	SERPINC1
141595	TREML2
215534	FREM1
186022	CLTB
127517	KIAA1536
225420	PROSC
181097	TAGAP
191760	TANC
217084	BCL2L13
103786	ISLR
214794	PRRG4
112257	ATP6V1G3
190566	GPR161
409931	DISP2
173188	COG6
188463	GABRD
217390	SMUG1
160171	FLJ20534
148547	TBC1D14
149998	MKL2
139289	WFDC10B
141589	IRF8
105869	THAP1
212057	MAGEA6
137630	NDUFB3
111934	ZNF513
210624	RORC
150230	SCARF2
202795	LOC51334
133924	DNMT3B
112846	VMD2
161404	ASF1B
113091	CNNM4
194171	COH1
220910	DKFZp686H1423
189814	VAMP5
153888	BHLHB9
144503	MAPK8IP3
212771	C6orf47
115455	RAB28
221811	GIOT-1
138222	LYZL2,LYZL1
158597	AMPH
127094	KIAA1363
122135	PLIN
207484	ZBTB24
183190	KIFC2
114736	ABCC11
701848	NOMO2,NOMO3
715318	KCNK18
104566	FLJ11806
137044	VNN1
147423	TAS2R1
125224	LOC374946
101506	MGC42105
225035	ZNF568
198392	MUC2
229263	LOC201243
120322	STK4
203282	CREB3L4
211511	TNFRSF1B
177080	ADSSL1
184732	PTD012
157895	SH3BGRL
167836	SF3B1
