GeneSymbol,Direction,PValue,FDR,FoldChange,EntrezID
FAM176A,down,0.0028585810841,0.026698433,3.4399619,84141.0
GCLM,up,0.0028632290098,0.026705066,5.4496185,2730.0
MLEC,down,0.0028666960346,0.026705066,9.9269395,9761.0
RPP14,up,0.0028685972596,0.026705066,4.5851555,11102.0
CCL27,down,0.0028698088339,0.026705066,2.5458708,10850.0
TAF9B,down,0.00287191806,0.026705066,143.3809752,51616.0
FAM133B,down,0.0028771216775,0.026705066,2.2936472,257415.0
EHMT2,up,0.002878240573,0.026705066,2.9332367,10919.0
SVIL,down,0.002878269026,0.026705066,2.2145628,6840.0
RBM14,up,0.0028788360872,0.026705066,3.1180571,10432.0
ASB9,up,0.0028798063443,0.026705066,2.3585696,140462.0
MCMBP,down,0.0028803639876,0.026705066,2.7245985,79892.0
NME1,down,0.0028826380615,0.026705066,3.2486763,4830.0
PAX2,up,0.0028869722427,0.026705066,2.8433292,5076.0
MYB,down,0.0028870526864,0.026705066,2.0603797,4602.0
SLC41A1,up,0.0028874843454,0.026705066,2.0431417,254428.0
COG5,up,0.0028900638893,0.026705066,3.3880995,10466.0
B4GALT3,up,0.00289056889,0.026705066,4.885123,8703.0
MLLT1,down,0.0028907871029,0.026705066,6.1957607,4298.0
MINPP1,up,0.0028918925225,0.026705066,9.7068639,9562.0
C19orf76,up,0.0028918991,0.026705066,2.6460018,199800.0
ATP5J,up,0.0028972215389,0.026732189,4.720494,522.0
TBL1X,down,0.0028974667576,0.026732189,4.9050623,6907.0
GPC3,up,0.0029060404582,0.026782991,7.0042244,2719.0
SLC25A5,up,0.0029063682283,0.026782991,7.1622241,292.0
RTEL1,up,0.0029073904239,0.026782991,4.4432079,51750.0
GPR75-ASB3,down,0.0029082441043,0.026782991,16.2941057,100302652.0
ARID1A,up,0.0029103087501,0.026787991,5.0472271,8289.0
MMP23B,up,0.0029140589127,0.026787991,2.2081686,8510.0
GEMIN4,up,0.0029155271367,0.026789371,2.8498068,50628.0
C9orf66,up,0.0029198655011,0.026797353,9.3376952,157983.0
TMED4,down,0.002923132169,0.026797353,3.5024274,222068.0
TCF3,up,0.002923433199,0.026797353,2.3418724,6929.0
ZEB1,down,0.0029239260354,0.026797353,9.9018679,6935.0
HPCA,down,0.0029245422131,0.026797353,2.1129227,3208.0
PLGLB2,up,0.0029262904321,0.026797353,2.3568314,5342.0
ATOH7,up,0.0029269433777,0.026797353,6.4987013,220202.0
RPGR,down,0.0029295813038,0.026809428,2.8845966,6103.0
MTMR14,up,0.0029326034184,0.026825007,11.7662041,64419.0
