"Gene","Penney_p","Cartwright_p","HUNT_p","UKBiobank_p","n_cohorts_sig","min_p","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado_no_GSE53868","DEG_no_GSE53868_FDR05"
"MAPK10","9.31E-01","7.34E-04*","8.25E-01","5.31E-01",1,0.000734,-0.0749614089999981,9.60406394291667,-0.859679869946559,0.404134488674124,0.656623448655218,-5.92479708657593,TRUE,FALSE
"GABRG3","2.26E-01","6.48E-01","2.77E-04*","3.14E-01",1,0.000277,0.0472254973333341,5.29449901558333,0.821625661698485,0.424764735494076,0.675628594945684,-5.95627566734162,TRUE,FALSE
"TAS2R41","3.20E-01","3.12E-01","1.18E-01","3.17E-04*",1,0.000317,-0.0525442272500005,5.33669267120833,-0.811597861032588,0.430312835253164,0.6799227265185,-5.96435583213858,TRUE,FALSE
"DPEP2","2.94E-01","4.84E-01","2.39E-01","6.55E-04*",1,0.000655,0.0755557942500007,7.423147239125,0.790608403407103,0.442075665893424,0.689430046973066,-5.98097615065207,TRUE,FALSE
"MCEMP1","3.14E-01","6.36E-01","4.43E-01","1.52E-04*",1,0.000152,0.0935907505833342,6.04740150220833,0.777926346631289,0.44928079148435,0.694944880177307,-5.99082551437867,TRUE,FALSE
"PDZD3","3.98E-01","4.74E-02†","1.61E-04*","5.08E-02",2,0.000161,-0.0397447759999993,5.52826079408333,-0.747368553940677,0.466942267398479,0.708474933334499,-6.01395693558822,TRUE,FALSE
"ADRA2C","8.19E-01","3.64E-02†","9.46E-01","8.31E-04*",2,0.000831,0.169503716666669,13.0067140908333,0.719580449459806,0.483367910096827,0.719758839436844,-6.03424870816417,TRUE,FALSE
"PHB","1.02E-01","6.34E-04*","7.24E-01","2.11E-01",1,0.000634,-0.0430059391666658,10.7682216929167,-0.718434061945294,0.484052938444739,0.720123187941919,-6.03507053892823,TRUE,FALSE
"IKBKE","3.03E-01","3.15E-01","4.84E-03†","3.65E-04*",2,0.000365,-0.035185934249999,5.74447410495833,-0.682742881539837,0.50566995513734,0.736614417341095,-6.0600466635063,TRUE,FALSE
"NPC1","5.54E-04*","8.81E-01","3.03E-01","1.91E-01",1,0.000554,0.0441995422500003,9.44371139720833,0.658636031246524,0.520584235738691,0.74810810160358,-6.07624288936471,TRUE,FALSE
"CALD1","1.16E-01","4.39E-01","2.94E-01","7.83E-04*",1,0.000783,0.0899196508333354,13.7237854204167,0.655228590422226,0.522712431593266,0.750033155228456,-6.07848812015651,TRUE,FALSE
"MED31","2.92E-01","4.29E-01","5.63E-04*","1.51E-01",1,0.000563,0.0295033265833345,9.44656172554167,0.603139982239788,0.555852752666446,0.773291100553025,-6.11144158814162,TRUE,FALSE
"MRPL53","3.64E-06*","1.67E-01","6.58E-01","7.79E-01",1,3.64e-06,0.0227330433333346,11.806876985,0.583996522209974,0.568312731877649,0.781004688375959,-6.1229025335297,TRUE,FALSE
"GFPT2","2.96E-01","3.45E-01","2.93E-01","2.69E-04*",1,0.000269,-0.0576300858333327,11.0100708929167,-0.556322059618928,0.58658336643705,0.792345275048124,-6.1388479790854,TRUE,FALSE
"CLEC4M","5.81E-01","5.27E-01","6.82E-01","7.55E-04*",1,0.000755,0.019129195416667,6.754223487625,0.553126837965166,0.58871214550532,0.793773359019483,-6.14064138287817,TRUE,FALSE
"VPS26A","6.79E-04*","4.95E-01","8.15E-01","9.25E-01",1,0.000679,-0.0242147466666652,11.260372835,-0.5359708133495,0.600209229547494,0.801363945525347,-6.1501014626666,TRUE,FALSE
"DHX57","5.47E-04*","4.61E-01","6.69E-01","4.85E-01",1,0.000547,0.0172491257500013,7.33095035354167,0.519073358858996,0.611641949057827,0.808574167657681,-6.15913930269398,TRUE,FALSE
"PELI3","1.70E-01","6.57E-01","6.43E-01","5.71E-04*",1,0.000571,0.0388334621666679,10.5087887128333,0.497252883662562,0.626561716771658,0.817603792996485,-6.17039794398413,TRUE,FALSE
"RIOK3","4.68E-04*","7.19E-01","5.16E-01","5.35E-01",1,0.000468,-0.0221352606666646,9.12800085325,-0.476396762773305,0.640982215159583,0.8273562907783,-6.18072270051083,TRUE,FALSE
"CHD8","3.36E-01","1.60E-03†","3.00E-04*","9.61E-01",2,3e-04,-0.019200099999999,10.3448259883333,-0.442650483076326,0.66463444453776,0.841682485355285,-6.19652061805057,TRUE,FALSE
"NPNT","3.19E-01","7.78E-02","9.61E-04*","7.34E-01",1,0.000961,0.0697565516666676,12.0577631466667,0.438983170353388,0.667227837635656,0.843287100213157,-6.19816954570324,TRUE,FALSE
"PRB3","4.71E-01","2.02E-04*","7.82E-01","2.02E-02†",2,0.000202,0.0182593838333345,8.42435371658333,0.430858738434854,0.67298881657432,0.846034678662772,-6.20177498529079,TRUE,FALSE
"DDX41","1.77E-01","2.93E-01","2.30E-01","3.61E-04*",1,0.000361,-0.0219400485833329,10.3807195882083,-0.40513050731015,0.691371799689377,0.856739208311978,-6.21275942868248,TRUE,FALSE
"SFMBT2","4.12E-01","4.35E-01","2.97E-04*","1.96E-01",1,0.000297,0.0216287695833336,6.516362015125,0.399783880125259,0.695217917955615,0.858956218227447,-6.21495929856747,TRUE,FALSE
"PNPLA6","1.68E-01","2.08E-01","9.22E-04*","5.37E-01",1,0.000922,0.0211008962499998,8.34112717229167,0.397272197965487,0.697027718872659,0.860113178876524,-6.21598287136622,TRUE,FALSE
"GRAMD2","2.15E-01","6.86E-01","1.36E-02†","7.43E-04*",2,0.000743,0.0196528084166667,5.38564830595833,0.35988485633278,0.724187896091522,0.8746100088369,-6.23047213038136,TRUE,FALSE
"PIGH","5.21E-01","8.72E-01","1.88E-01","5.93E-05*",1,5.93e-05,0.0148706659166668,9.08941916870833,0.316409237583106,0.756259212094753,0.890196671443607,-6.24555256168052,TRUE,FALSE
"PTPN4","5.09E-01","4.07E-01","4.53E-01","6.67E-05*",1,6.67e-05,-0.0132344276666668,8.97592281933333,-0.26584308277282,0.794150960441802,0.909591970748049,-6.26068537717841,TRUE,FALSE
"NCF1","8.05E-04*","2.73E-01","3.03E-01","9.70E-01",1,0.000805,0.0163634776666667,8.27286324891667,0.226949231594861,0.823672587966805,0.921938624660597,-6.27055388634723,TRUE,FALSE
"ZHX3","3.53E-04*","2.00E-01","2.61E-01","8.40E-01",1,0.000353,0.0110793388333331,10.2304555411667,0.225678900856434,0.824641757968013,0.92246350230702,-6.27085014649588,TRUE,FALSE
"B4GALT4","2.31E-01","1.36E-04*","1.52E-01","7.89E-01",1,0.000136,-0.017244377166666,9.52108503283333,-0.210758252555373,0.836046881617842,0.927480562029533,-6.27420624746845,TRUE,FALSE
"CPSF2","1.42E-04*","5.51E-02","8.58E-01","2.12E-02†",2,0.000142,-0.00758721958333204,7.972633464375,-0.209698705931909,0.836858270708616,0.927832207209342,-6.27443590248611,TRUE,FALSE
"ICA1L","2.62E-01","9.08E-01","4.96E-01","6.52E-06*",1,6.52e-06,-0.0135782988333323,6.52399200933333,-0.206847739638441,0.839042461480971,0.928676214267686,-6.27504813354914,TRUE,FALSE
"TRAPPC5","7.02E-01","8.93E-01","3.95E-02†","3.40E-04*",2,0.00034,0.00964871166666788,12.4009609266667,0.203968482014241,0.841249721720941,0.929648056289822,-6.2756579863229,TRUE,FALSE
"ZDHHC24","2.23E-01","7.32E-01","7.92E-01","7.07E-04*",1,0.000707,0.00922349766666716,8.48291379133333,0.176367659905076,0.862476195033557,0.939868945203693,-6.28107262067109,TRUE,FALSE
