"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rat_Gene_Symbol_exact","HID","Human_Ortholog_Symbol"
"Inpp4b",62.2907220803894,-2.16631345295862,0.856194903376054,-3.69680506206556,0.000218329862097399,0.0272780006493205,"Inpp4b",20832,"INPP4B"
"Dsp",8355.76008059783,1.6820529384186,0.459689078434926,3.65929999509695,0.000252905138485233,0.0312818365792384,"Dsp",37922,"DSP"
"Myrfl",56.3287806785946,-2.47009517039597,0.862179854313822,-3.64723327253074,0.000265079250640333,0.0324630222888146,"Myrfl",88588,"MYRFL"
"Nfil3",159.06418266931,-2.73529554130638,0.859316565810986,-3.64332629386722,0.000269137305449837,0.0326368561873434,"Nfil3",3928,"NFIL3"
"LOC100911410",47.7171884377261,-1.78194394004668,0.839371314077489,-3.63311739898979,0.000280017535104018,0.0336265717640932,"LOC100911410",NA,NA
"LOC100361830",50.4631486261551,-1.73112323736929,0.836364877260135,-3.62145386712477,0.000292952050397829,0.0348415760708726,"LOC100361830",NA,NA
"Vps8",367.591199485666,-2.52574456230777,0.700149260158745,-3.61658198342863,0.000298518799150464,0.0351655145399246,"Vps8",44592,"VPS8"
"Wdr24",210.713723356869,-2.83793760769093,0.807058489786396,-3.60443072862031,0.000312837870915587,0.0365046379750462,"Wdr24",6870,"WDR24"
"LOC102546781",48.2666381972421,-1.72526718195834,0.836042372473109,-3.59203726217855,0.000328102920543553,0.0379280843383477,"LOC102546781",NA,NA
"Pid1",50.3578584532905,-1.69133798749702,0.833873778445452,-3.58638332191386,0.000335295984245813,0.0384007039734857,"Pid1",NA,NA
"Agrn",2012.6814518145,2.20960068669757,0.618083416139243,3.57808626613936,0.000346119222707899,0.0392765932630642,"Agrn",27907,"AGRN"
"LOC102553726",1232.5134905745,2.77708309957679,0.842970969690156,3.51386073059679,0.000441644299195571,0.0496608939704547,"LOC102553726",NA,NA
