"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Aldh1a3",86.9843326250201,-7.01363650328511,1.51757743822307,-4.62160040511499,3.80790956429594e-06,0.000671605166400615,"ALDH1A3",220
"Pag1",37.9264906152316,8.96089557553725,1.93959558069011,4.61998143569132,3.83774380800351e-06,0.000671605166400615,"PAG1",55824
"LOC100912031",185.94947779989,-7.31223190220214,1.58584976455063,-4.61092347185495,4.00884108845413e-06,0.0006928861140538,NA,NA
"Aldh1a7",130.403051837467,10.742978951457,2.34523027119098,4.58077788071589,4.63249646014275e-06,0.000788985130810992,NA,NA
"Nup188",795.029503533188,2.54676012087787,0.556212565041642,4.57875330573879,4.67755470409374e-06,0.000788985130810992,"NUP188",23511
"LOC500300",42.1157697389303,-8.80267190479168,1.92450979645292,-4.57398134372501,4.78542469630263e-06,0.000797570782717105,NA,NA
"LOC100361830",50.5698361029506,-9.0661848959367,1.9863740130934,-4.56418823251612,5.01430746176827e-06,0.00082588593487948,NA,NA
"LOC102554685",45.6266279661532,-8.91820417308959,1.95818131448452,-4.55433013639866,5.25527692779254e-06,0.000855510197547622,NA,NA
"Gfpt2",90.3566093187247,-7.48545398880098,1.64564065986935,-4.54865644204202,5.39895002156662e-06,0.000868796555194629,"GFPT2",9945
"Fbxo30",311.350493256099,-2.52007015204133,0.554802815654427,-4.54228075441315,5.56488600394897e-06,0.000885322773355519,"FBXO30",84085
"Fermt3",123.059837719681,-10.3493859549714,2.28386784135151,-4.53151700268568,5.85616227188828e-06,0.000914809249471573,"FERMT3",83706
"Sphk1",551.284294731164,2.25099315345771,0.496839322059952,4.53062600626061,5.88091660374583e-06,0.000914809249471573,"SPHK1",8877
"Fam102b",500.147840252387,2.76817358890212,0.613513948084338,4.5119978079481,6.42198521047646e-06,0.000987997724688686,"EEIG2",284611
"Hoxd12",58.0147793420768,-9.26452179554314,2.06314721752041,-4.49048023178767,7.10627705062792e-06,0.00107794787114813,"HOXD12",3238
"Snx31",302.40371793233,-4.9751543879887,1.10833448866035,-4.48885642275934,7.16065371548399e-06,0.00107794787114813,"SNX31",169166
"Sema4f",115.17760366178,-10.2538775217605,2.28705764431107,-4.4834364132738,7.34504966383364e-06,0.00109394356695395,"SEMA4F",10505
"Afap1l2",611.288348517801,2.64033897026715,0.589344355369136,4.48012939500095,7.45978015951318e-06,0.00109933602350721,"AFAP1L2",84632
"Galns",75.147030323929,-9.63800404042908,2.15522121705241,-4.47193260913166,7.75158576228384e-06,0.00112312342305017,"GALNS",2588
