"GeneSymbol","PValue","FDR","FoldChange","Direction","Sui1","Sui2","Sui3","Ctrl1","Ctrl2","Ctrl3","logFC"
"MOB3B",0.0063968336415,0.037986075,2.6860857,"up",6.2905912,6.535844,6.4952645,5.1709347,5.370282,4.503967,1.42550533491898
"TP53BP1",0.006397359645,0.037986075,5.0314113,"down",4.058165,3.3492434,2.5298138,5.534527,5.7504063,5.6451783,-2.33096312963858
"HIBADH",0.0064045015726,0.038006574,2.4166522,"up",8.04464,8.706928,8.743738,7.125618,7.401048,7.1496105,1.27300985810956
"SLAMF7",0.0064078312464,0.038007309,9.0018276,"down",5.4166193,5.398115,3.765023,8.007853,7.5884356,8.4941225,-3.17021793497377
"KCTD3",0.0064096524719,0.038007309,4.2469149,"up",5.134514,6.382262,6.2150717,3.6884665,3.8147986,3.969337,2.08641520014328
"RUNDC3A",0.0064134799987,0.038007309,12.5802934,"down",9.620511,9.081805,9.642716,12.305489,14.443574,12.55525,-3.6530936643056
"GGA2",0.0064141530559,0.038007309,3.7384126,"up",7.0832195,7.0920434,7.5449076,5.1360917,4.8926682,5.9841332,1.90242580480382
"PTDSS1",0.0064158956189,0.038007309,5.411593,"up",6.926419,8.182642,8.233931,5.245423,5.083435,5.705974,2.43605333987588
"CPVL",0.0064301013779,0.038080364,2.6762196,"up",7.2923775,7.495788,7.713854,5.883505,6.564433,5.793492,1.420196502688
"BIRC7",0.0064539309584,0.038210354,5.6183849,"down",5.084053,5.1013393,3.859221,7.0703325,7.6338882,6.810859,-2.49015546289436
"FBXW9",0.0064559985118,0.038211465,3.1663231,"down",7.394583,7.0852866,6.557295,8.5874,9.065708,8.372482,-1.66280847941195
"SPRED2",0.0064604095803,0.038226441,3.0092436,"down",6.0968623,5.730711,5.14634,7.432508,7.3077064,7.0019016,-1.58940089839173
"PCDH7",0.0064668741549,0.03824521,3.3836476,"up",11.09077,10.425991,10.895977,8.924725,8.643651,9.568624,1.75857932253404
"ZNF226",0.0064846194256,0.038314384,2.6159921,"up",7.469776,7.366773,7.576505,6.0005574,5.681602,6.56882,1.38735818406687
"PRKDC",0.0064846977164,0.038314384,3.4569886,"up",5.875342,6.7602487,6.87325,4.7803497,4.4511414,4.908802,1.78951584607917
"RGS7",0.0064873094231,0.038318676,3.262693,"up",4.58482,5.247516,5.012917,3.5012844,3.5115502,2.7142286,1.70606324479589
